year,age,suicides_no,population,suicides/100k pop
1985,5-14 years,984,199192522,0.5
1985,15-24 years,17870,196974439,9.08
1985,25-34 years,20771,173536624,11.97
1985,35-54 years,35748,246046628,14.53
1985,55-74 years,28736,152769432,18.82
1985,75+ years,11954,40080441,29.83
1986,5-14 years,944,202815438,0.47
1986,15-24 years,18063,199238573,9.07
1986,25-34 years,21685,176214788,12.31
1986,35-54 years,37558,253601356,14.81
1986,55-74 years,29760,156574209,19.01
1986,75+ years,12660,41465249,30.54
1987,5-14 years,935,208313887,0.45
1987,15-24 years,16432,208588197,7.88
1987,25-34 years,22309,188988532,11.81
1987,35-54 years,40649,273473250,14.87
1987,55-74 years,32469,169554641,19.15
1987,75+ years,14048,46111219,30.47
1988,5-14 years,837,195336565,0.43
1988,15-24 years,15337,196035518,7.83
1988,25-34 years,21332,181934957,11.73
1988,35-54 years,38770,267264139,14.51
1988,55-74 years,30538,166789014,18.31
1988,75+ years,14212,46734231,30.42
1989,5-14 years,1150,222337932,0.52
1989,15-24 years,18636,219927016,8.48
1989,25-34 years,29427,213566446,13.78
1989,35-54 years,53541,316627576,16.91
1989,55-74 years,40087,197860873,20.27
1989,75+ years,17403,55194504,31.54
1990,5-14 years,1477,264959789,0.56
1990,15-24 years,23248,262224981,8.87
1990,25-34 years,35276,255943494,13.79
1990,35-54 years,65242,381429036,17.11
1990,55-74 years,47018,235387943,19.98
1990,75+ years,21100,66674857,31.65
1991,5-14 years,1533,267650607,0.58
1991,15-24 years,23317,263683586,8.85
1991,25-34 years,35615,258085415,13.8
1991,35-54 years,68374,391411658,17.47
1991,55-74 years,48315,241269189,20.03
1991,75+ years,20866,67887929,30.74
1992,5-14 years,1687,286065805,0.59
1992,15-24 years,24727,278729125,8.88
1992,25-34 years,37758,270397353,13.97
1992,35-54 years,75051,412814790,18.19
1992,55-74 years,51506,251982954,20.45
1992,75+ years,20744,69549420,29.83
1993,5-14 years,1789,275649767,0.65
1993,15-24 years,25262,267069051,9.46
1993,25-34 years,39044,260776673,14.98
1993,35-54 years,80670,407012350,19.83
1993,55-74 years,54278,251229172,21.61
1993,75+ years,20522,68679641,29.89
1994,5-14 years,1760,272020060,0.65
1994,15-24 years,27296,267468800,10.21
1994,25-34 years,40946,263220968,15.56
1994,35-54 years,84986,417589803,20.36
1994,55-74 years,56576,258671110,21.88
1994,75+ years,20499,69778631,29.38
1995,5-14 years,1921,276545519,0.7
1995,15-24 years,29461,272391062,10.82
1995,25-34 years,42371,268186691,15.8
1995,35-54 years,89752,434002463,20.69
1995,55-74 years,59138,267815735,22.09
1995,75+ years,20901,72617633,28.79
1996,5-14 years,1865,290936431,0.65
1996,15-24 years,30365,285894005,10.63
1996,25-34 years,42593,278429626,15.3
1996,35-54 years,91280,454968532,20.07
1996,55-74 years,59979,276361725,21.71
1996,75+ years,20643,75677343,27.28
1997,5-14 years,1880,302524185,0.63
1997,15-24 years,30157,294538353,10.24
1997,25-34 years,41158,285003000,14.45
1997,35-54 years,88012,466646342,18.87
1997,55-74 years,58672,277090379,21.18
1997,75+ years,20866,77189260,27.04
1998,5-14 years,2082,302835669,0.69
1998,15-24 years,30817,296626620,10.39
1998,25-34 years,41706,286231329,14.58
1998,35-54 years,91627,478662917,19.15
1998,55-74 years,61642,281202250,21.93
1998,75+ years,21717,79622566,27.28
1999,5-14 years,2049,307095027,0.67
1999,15-24 years,31582,304307108,10.38
1999,25-34 years,41968,291530934,14.4
1999,35-54 years,96223,500176591,19.24
1999,55-74 years,62664,289611423,21.64
1999,75+ years,21633,83642072,25.87
2000,5-14 years,2065,307228422,0.68
2000,15-24 years,31742,306833668,10.35
2000,25-34 years,41605,294464558,14.13
2000,35-54 years,97814,512406074,19.09
2000,55-74 years,60973,291933570,20.89
2000,75+ years,21633,86361616,25.05
2001,5-14 years,2095,294718908,0.72
2001,15-24 years,30806,297966000,10.34
2001,25-34 years,40279,284481809,14.16
