country,year,suicides_no
Albania,1987,73
Albania,1988,63
Albania,1989,68
Albania,1992,47
Albania,1993,73
Albania,1994,50
Albania,1995,88
Albania,1996,89
Albania,1997,170
Albania,1998,154
Albania,1999,139
Albania,2000,54
Albania,2001,119
Albania,2002,133
Albania,2003,124
Albania,2004,146
Albania,2005,0
Albania,2006,0
Albania,2007,124
Albania,2008,160
Albania,2009,0
Albania,2010,96
Antigua and Barbuda,1985,0
Antigua and Barbuda,1986,0
Antigua and Barbuda,1987,0
Antigua and Barbuda,1988,0
Antigua and Barbuda,1989,0
Antigua and Barbuda,1990,1
Antigua and Barbuda,1991,0
Antigua and Barbuda,1992,0
Antigua and Barbuda,1993,1
Antigua and Barbuda,1994,0
Antigua and Barbuda,1995,0
Antigua and Barbuda,1998,0
Antigua and Barbuda,1999,0
Antigua and Barbuda,2000,2
Antigua and Barbuda,2001,2
Antigua and Barbuda,2002,0
Antigua and Barbuda,2003,1
Antigua and Barbuda,2004,2
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,1
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Antigua and Barbuda,2015,1
Argentina,1985,1988
Argentina,1986,2284
Argentina,1987,2286
Argentina,1988,2354
Argentina,1989,2247
Argentina,1990,2140
Argentina,1991,1951
Argentina,1992,2184
Argentina,1993,2230
Argentina,1994,2241
Argentina,1995,2204
Argentina,1996,2229
Argentina,1997,2184
Argentina,1998,2347
Argentina,1999,2423
Argentina,2000,2774
Argentina,2001,3132
Argentina,2002,3162
Argentina,2003,3289
Argentina,2004,3121
Argentina,2005,3058
Argentina,2006,3108
Argentina,2007,2946
Argentina,2008,3059
Argentina,2009,2884
Argentina,2010,2943
Argentina,2011,2912
Argentina,2012,3248
Argentina,2013,2987
Argentina,2014,3231
Argentina,2015,3073
Armenia,1990,93
Armenia,1991,80
Armenia,1992,83
Armenia,1993,106
Armenia,1994,112
Armenia,1995,130
Armenia,1996,87
Armenia,1997,77
Armenia,1998,66
Armenia,1999,67
Armenia,2000,61
Armenia,2001,60
Armenia,2002,74
Armenia,2003,59
Armenia,2006,78
Armenia,2007,71
Armenia,2008,63
Armenia,2009,53
Armenia,2010,73
Armenia,2011,67
Armenia,2012,79
Armenia,2013,67
Armenia,2014,58
Armenia,2015,74
Armenia,2016,67
Aruba,1995,8
Aruba,1999,9
Aruba,2000,10
Aruba,2001,4
Aruba,2002,9
Aruba,2003,2
Aruba,2004,8
Aruba,2005,10
Aruba,2006,9
Aruba,2007,8
Aruba,2008,4
Aruba,2009,4
Aruba,2010,7
Aruba,2011,9
Australia,1985,1861
Australia,1986,2044
Australia,1987,2164
Australia,1988,2172
Australia,1989,2066
Australia,1990,2202
Australia,1991,2288
Australia,1992,2251
Australia,1993,2038
Australia,1994,2283
Australia,1995,2170
Australia,1996,2426
Australia,1997,2646
Australia,1998,2632
Australia,1999,2488
Australia,2000,2391
Australia,2001,2458
Australia,2002,2319
Australia,2003,2156
Australia,2004,2114
Australia,2006,2117
Australia,2007,2229
Australia,2008,2341
Australia,2009,2337
Australia,2010,2420
Australia,2011,2392
Australia,2012,2580
Australia,2013,2608
Australia,2014,2891
Australia,2015,3027
Austria,1985,2091
Austria,1986,2139
Austria,1987,2069
Austria,1988,1851
Austria,1989,1898
Austria,1990,1825
Austria,1991,1769
Austria,1992,1759
Austria,1993,1704
Austria,1994,1776
Austria,1995,1788
Austria,1996,1779
Austria,1997,1592
Austria,1998,1559
Austria,1999,1555
Austria,2000,1588
Austria,2001,1489
Austria,2002,1553
Austria,2003,1456
Austria,2004,1422
Austria,2005,1399
Austria,2006,1297
Austria,2007,1285
Austria,2008,1267
Austria,2009,1278
Austria,2010,1264
Austria,2011,1288
Austria,2012,1276
Austria,2013,1291
Austria,2014,1314
Austria,2015,1251
Austria,2016,1201
Azerbaijan,1990,114
Azerbaijan,1991,134
Azerbaijan,1992,144
Azerbaijan,1993,119
Azerbaijan,1994,47
Azerbaijan,1995,49
Azerbaijan,1996,69
Azerbaijan,1997,107
Azerbaijan,1998,56
Azerbaijan,1999,54
Azerbaijan,2000,62
Azerbaijan,2001,317
Azerbaijan,2002,92
Azerbaijan,2003,129
Azerbaijan,2004,108
Azerbaijan,2007,55
Bahamas,1985,1
Bahamas,1987,3
Bahamas,1993,7
Bahamas,1994,3
Bahamas,1995,2
Bahamas,1996,3
Bahamas,1997,2
Bahamas,1998,3
Bahamas,1999,6
Bahamas,2000,11
Bahamas,2001,1
Bahamas,2002,3
Bahamas,2003,1
Bahamas,2004,2
Bahamas,2005,4
Bahamas,2006,2
Bahamas,2007,5
Bahamas,2008,4
Bahamas,2009,6
Bahamas,2010,10
Bahamas,2011,4
Bahamas,2012,5
Bahamas,2013,5
Bahrain,1985,11
Bahrain,1987,9
Bahrain,1988,14
Bahrain,1997,0
Bahrain,1998,0
Bahrain,1999,17
Bahrain,2000,29
Bahrain,2001,23
Bahrain,2002,25
Bahrain,2003,34
Bahrain,2004,42
Bahrain,2005,42
Bahrain,2006,28
Bahrain,2007,40
Bahrain,2008,43
Bahrain,2009,36
Bahrain,2010,19
Bahrain,2011,18
Bahrain,2012,19
Bahrain,2013,5
Bahrain,2014,9
Barbados,1985,7
Barbados,1986,8
Barbados,1987,6
Barbados,1988,12
Barbados,1989,16
Barbados,1990,16
Barbados,1991,17
Barbados,1992,14
Barbados,1993,16
Barbados,1994,14
Barbados,1995,17
Barbados,2000,10
Barbados,2001,2
Barbados,2002,0
Barbados,2003,0
Barbados,2004,3
Barbados,2005,1
Barbados,2006,9
Barbados,2007,0
Barbados,2008,1
Barbados,2009,5
Barbados,2010,3
Barbados,2011,0
Barbados,2012,0
Barbados,2013,0
Belarus,1990,2085
Belarus,1991,2169
Belarus,1992,2424
Belarus,1993,2885
Belarus,1994,3153
Belarus,1995,3203
Belarus,1996,3627
Belarus,1997,3526
Belarus,1998,3556
Belarus,1999,3397
Belarus,2000,3483
Belarus,2001,3303
Belarus,2002,3291
Belarus,2003,3456
Belarus,2007,2659
Belarus,2008,2658
Belarus,2009,2743
Belarus,2010,2459
Belarus,2011,2172
Belarus,2013,1902
Belarus,2014,1741
Belgium,1985,2281
Belgium,1986,2202
Belgium,1987,2238
Belgium,1988,1996
Belgium,1989,1920
Belgium,1990,1895
Belgium,1991,1805
Belgium,1992,1878
Belgium,1993,2142
Belgium,1994,2131
Belgium,1995,2155
Belgium,1996,2013
Belgium,1997,2146
Belgium,1998,2019
Belgium,1999,1857
Belgium,2000,2143
Belgium,2001,2165
Belgium,2002,2076
Belgium,2003,2091
Belgium,2004,1987
Belgium,2005,2029
Belgium,2006,1935
Belgium,2007,1857
Belgium,2008,1999
Belgium,2009,2013
Belgium,2010,2013
Belgium,2011,2088
Belgium,2012,2026
Belgium,2013,1895
Belgium,2014,1899
Belgium,2015,1867
Belize,1986,3
Belize,1987,4
Belize,1989,1
Belize,1990,3
Belize,1991,2
Belize,1993,1
Belize,1994,8
Belize,1995,14
Belize,1996,8
Belize,1997,1
Belize,1998,12
Belize,1999,18
Belize,2000,18
Belize,2001,19
Belize,2002,14
Belize,2003,12
Belize,2004,20
Belize,2005,12
Belize,2006,11
Belize,2007,8
Belize,2008,11
Belize,2009,15
Belize,2010,15
Belize,2011,33
Belize,2012,18
Belize,2013,17
Belize,2014,24
Belize,2015,26
Bosnia and Herzegovina,2011,5
Bosnia and Herzegovina,2014,313
Brazil,1985,4228
Brazil,1986,4271
Brazil,1987,4672
Brazil,1988,4466
Brazil,1989,4463
Brazil,1990,4803
Brazil,1991,5156
Brazil,1992,5207
Brazil,1993,5508
Brazil,1994,5896
Brazil,1995,6536
Brazil,1996,6698
Brazil,1997,6891
Brazil,1998,6922
Brazil,1999,6507
Brazil,2000,6763
Brazil,2001,7710
Brazil,2002,7697
Brazil,2003,7839
Brazil,2004,7995
Brazil,2005,8529
Brazil,2006,8618
Brazil,2007,8855
Brazil,2008,9184
